ID;Название;Количество;Цена;Местоположение;Производитель;имя картинки
792764041;Вешалка для брюк;6;139;8B;MITTE;792764041.jpg
487881477;Лоток для обуви;8;199;6A;Darel plastic;487881477.jpg
369070744;Вешалка для одежды;17;39;8A;MITTE;369070744.jpg
330168619;Контейнер с крышкой;51;149;3C;Basic;330168619.jpg
131498292;Корзинка универсальная;33;199;1C;Scandi;131498292.jpg
972864552;Корзинка универсальная M;23;79;5A;Scandi;972864552.jpg
753622307;Коробка для хранения обуви М;60;899;1B;Scandi;753622307.jpg
335543376;Корзинка для мелочей;75;79;1B;CubaLibra;335543376.jpg
270559001;Корзина для белья с крышкой;55;1399;3B;Вязь;270559001.jpg
269816018;Корзинка Лофт;93;269;1C;VIOLET;269816018.jpg
765088565;Декоративная подушка;83;1265;4A;Sorrento;765088565.jpg
815812951;Подсвечник Алания;95;49;1A;Pasabahce;815812951.jpg
912600695;Подсвечник для столовых свечей;16;349;7B;Кристофф;912600695.jpg
943318921;Свеча в баночке;67;499;6A;BARTEK;943318921.jpg
720290994;Свеча Металлик;43;499;7A;BARTEK;720290994.jpg
858717059;Мягкая игрушка;91;1999;5C;ТОМАТО;858717059.jpg
395865886;Декоративная галька;76;79;2A;Камения;395865886.jpg
315312295;Декоративная фигурка Птичка;23;399;6B;Decoris;315312295.jpg
341357553;Декоративный песок;68;79;3B;Камения;341357553.jpg
849129547;Шкатулка Буйство океана;53;999;3A;Gipfel Home;849129547.jpg
390283018;Часы песочные;38;999;6C;BARTEK;390283018.jpg
756156878;Сковорода;28;2299;1C;Chef;756156878.jpg
594569401;Сковорода с крышкой;53;1999;8A;BERKRAFT Miranda;594569401.jpg
520160120;Сковорода блинная;44;1779;3A;BERKRAFT Miranda;520160120.jpg
791214277;Сковорода для оладий;80;2299;6B;BERKRAFT Miranda;791214277.jpg
701772121;Сковорода-гриль;33;2499;2A;BERKRAFT Miranda;701772121.jpg
487768343;Табурет складной;3;699;3A;Плетенка;487768343.jpg
624481073;Табурет со ступенькой;43;1499;3C;Volf;624481073.jpg
461646577;Полка для стиральной машины;48;3999;6C;Denna;461646577.jpg
615979313;Торшер с выключателем;30;3999;4A;Citilux;615979313.jpg
985828392;Светильник напольный;45;7229;3B;Gauss Atmosphere;985828392.jpg
790527842;Светильник напольный с выключателем;88;1918;8B;ULTRA LIGHT;790527842.jpg
592265742;Сушилка для белья напольная;53;1999;5C;BERKRAFT;592265742.jpg
135523696;Сушилка для белья настенная;23;1499;2A;BERKRAFT;135523696.jpg
796958704;Сушилка для белья на батарею;48;459;2A;BERKRAFT;796958704.jpg
816221706;Стул детский;88;2449;1C;Stumpa;816221706.jpg
619218412;Форма с крышкой;86;999;5A;PYREX Cook&Freez;619218412.jpg
614488837;Швабра со сменной насадкой;91;899;8A;MITTE;614488837.jpg
397283724;Поднос на ножках;92;1199;3C;MITTE;397283724.jpg
304098816;Табурет;97;1099;4A;ТБСК2/1;304098816.jpg
617533920;Полотенце банное;95;139;1B;MICASA Melilia;617533920.jpg
396013820;Смеситель;60;1499;2B;UKINOX;396013820.jpg
684650266;Сахарница с ложкой на подставке;85;799;3C;Айсберг;684650266.jpg
768294378;Паштетница на подставке;64;899;7B;Айсберг;768294378.jpg
751573501;Френч-пресс;36;599;1A;BERKRAFT Arthur;751573501.jpg
340992642;Блюдо;45;1299;1A;WALMER Vivien;340992642.jpg
